ano,mun,uf,codmun,matriculas_6ano_9ano,matriculas_EM
2007,assunção,PB,2501351,331,111
2007,assunção do piauí,PI,2201051,523,410
2007,astolfo dutra,MG,3104601,776,383
2007,astorga,PR,4102109,1786,1057
2007,atalaia,AL,2700409,3924,1444
2007,atalaia,PR,4102208,281,152
2007,atalaia do norte,AM,1300201,781,287
2007,atalanta,SC,4201802,280,163
2007,ataléia,MG,3104700,1345,594
2007,atibaia,SP,3504107,9064,5099
2007,atílio vivácqua,ES,3200706,660,578
2007,augustinópolis,TO,1702554,1449,887
2007,augusto corrêa,PA,1500909,3421,1527
2007,augusto de lima,MG,3104809,466,217
2007,augusto pestana,RS,4301503,543,231
2007,áurea,RS,4301552,255,174
2007,aurelino leal,BA,2902401,1486,459
2007,auriflama,SP,3504206,951,660
2007,aurilândia,GO,5202601,289,178
2007,aurora,CE,2301703,2076,914
2007,aurora,SC,4201901,429,199
2007,aurora do pará,PA,1500958,1341,864
2007,aurora do tocantins,TO,1702703,326,143
2007,autazes,AM,1300300,2860,1158
2007,avaí,SP,3504305,388,255
2007,avanhandava,SP,3504404,754,316
2007,avaré,SP,3504503,5313,3131
2007,aveiro,PA,1501006,1525,549
2007,avelino lopes,PI,2201101,698,535
2007,avelinópolis,GO,5202809,218,115
2007,axixá,MA,2101103,1062,699
2007,axixá do tocantins,TO,1702901,1316,796
2007,babaçulândia,TO,1703008,821,348
2007,bacabal,MA,2101202,7967,5484
2007,bacabeira,MA,2101251,1303,873
2007,bacuri,MA,2101301,1936,808
2007,bacurituba,MA,2101350,460,193
2007,bady bassitt,SP,3504602,977,573
2007,baependi,MG,3104908,1430,734
2007,bagé,RS,4301602,8644,5896
2007,bagre,PA,1501105,861,378
2007,baía da traição,PB,2501401,898,429
2007,baía formosa,RN,2401404,563,413
2007,baianópolis,BA,2902500,1276,849
2007,baião,PA,1501204,2269,1125
2007,baixa grande,BA,2902609,2427,1151
2007,baixa grande do ribeiro,PI,2201150,792,329
2007,baixio,CE,2301802,537,258
2007,baixo guandu,ES,3200805,2140,960
2007,balbinos,SP,3504701,86,42
2007,baldim,MG,3105004,627,346
2007,baliza,GO,5203104,331,159
2007,balneário arroio do silva,SC,4201950,417,130
2007,balneário barra do sul,SC,4202057,618,373
2007,balneário camboriú,SC,4202008,6362,3918
2007,balneário gaivota,SC,4202073,515,219
2007,balneário piçarras,SC,4212809,1256,612
2007,balneário pinhal,RS,4301636,777,429
2007,balsa nova,PR,4102307,1014,577
2007,bálsamo,SP,3504800,448,295
2007,balsas,MA,2101400,7143,3496
2007,bambuí,MG,3105103,1507,1129
2007,banabuiú,CE,2301851,1702,715
